tn,tp,fp,fn,Accuracy_Score,seed,feature_set,ROC-AUC,MCC,Sensitivity,Specificity,Recall_Sensitivity,Precision,Recall_Specificity
41,17,0,2,0.9666666666666667,8349,AD_guild_split,0.9473684210526316,0.9236455895150476,0.8947368421052632,1.0,0.8947368421052632,1.0,1.0
31,4,9,16,0.5833333333333334,8086,clinical_base,0.4875,-0.028606478384531155,0.2,0.775,0.2,0.3076923076923077,0.775
32,2,8,18,0.5666666666666667,8086,clinical_guild,0.45000000000000007,-0.12649110640673517,0.1,0.8,0.1,0.2,0.8
38,3,2,17,0.6833333333333333,8086,clinical_guild_split,0.5499999999999999,0.17056057308448833,0.15,0.95,0.15,0.6,0.95
35,3,5,17,0.6333333333333333,8086,brain_base,0.5125,0.03466876226407682,0.15,0.875,0.15,0.375,0.875
36,4,4,16,0.6666666666666666,8086,brain_guild,0.55,0.1386750490563073,0.2,0.9,0.2,0.5,0.9
38,2,2,18,0.6666666666666666,8086,brain_guild_split,0.5249999999999999,0.09449111825230681,0.1,0.95,0.1,0.5,0.95
39,19,1,1,0.9666666666666667,8086,AD_base,0.9624999999999999,0.925,0.95,0.975,0.95,0.95,0.975
39,19,1,1,0.9666666666666667,8086,AD_guild,0.9624999999999999,0.925,0.95,0.975,0.95,0.95,0.975
39,19,1,1,0.9666666666666667,8086,AD_guild_split,0.9624999999999999,0.925,0.95,0.975,0.95,0.95,0.975
35,7,8,10,0.7,1490,clinical_base,0.612859097127223,0.23489478196744015,0.4117647058823529,0.813953488372093,0.4117647058823529,0.4666666666666667,0.813953488372093
38,3,5,14,0.6833333333333333,1490,clinical_guild,0.5300957592339262,0.07978979011864036,0.17647058823529413,0.8837209302325582,0.17647058823529413,0.375,0.8837209302325582
38,4,5,13,0.7,1490,clinical_guild_split,0.5595075239398085,0.15019456637319467,0.23529411764705882,0.8837209302325582,0.23529411764705882,0.4444444444444444,0.8837209302325582
38,4,5,13,0.7,1490,brain_base,0.5595075239398085,0.15019456637319467,0.23529411764705882,0.8837209302325582,0.23529411764705882,0.4444444444444444,0.8837209302325582
37,1,6,16,0.6333333333333333,1490,brain_guild,0.45964432284541723,-0.11329385858986339,0.058823529411764705,0.8604651162790697,0.058823529411764705,0.14285714285714285,0.8604651162790697
40,2,3,15,0.7,1490,brain_guild_split,0.5239398084815322,0.07806259944213188,0.11764705882352941,0.9302325581395349,0.11764705882352941,0.4,0.9302325581395349
42,16,1,1,0.9666666666666667,1490,AD_base,0.9589603283173734,0.9179206566347469,0.9411764705882353,0.9767441860465116,0.9411764705882353,0.9411764705882353,0.9767441860465116
42,16,1,1,0.9666666666666667,1490,AD_guild,0.9589603283173734,0.9179206566347469,0.9411764705882353,0.9767441860465116,0.9411764705882353,0.9411764705882353,0.9767441860465116
42,17,1,0,0.9833333333333333,1490,AD_guild_split,0.9883720930232558,0.9604585468176327,1.0,0.9767441860465116,1.0,0.9444444444444444,0.9767441860465116
30,8,7,15,0.6333333333333333,772,clinical_base,0.5793184488836662,0.1781218109987278,0.34782608695652173,0.8108108108108109,0.34782608695652173,0.5333333333333333,0.8108108108108109
32,5,5,18,0.6166666666666667,772,clinical_guild,0.5411280846063455,0.10731199229245879,0.21739130434782608,0.8648648648648649,0.21739130434782608,0.5,0.8648648648648649
32,5,5,18,0.6166666666666667,772,clinical_guild_split,0.5411280846063455,0.10731199229245879,0.21739130434782608,0.8648648648648649,0.21739130434782608,0.5,0.8648648648648649
35,3,2,20,0.6333333333333333,772,brain_base,0.5381903642773207,0.13436378511071695,0.13043478260869565,0.9459459459459459,0.13043478260869565,0.6,0.9459459459459459
35,4,2,19,0.65,772,brain_guild,0.5599294947121034,0.19425083155413395,0.17391304347826086,0.9459459459459459,0.17391304347826086,0.6666666666666666,0.9459459459459459
37,4,0,19,0.6833333333333333,772,brain_guild_split,0.5869565217391304,0.3389791030404922,0.17391304347826086,1.0,0.17391304347826086,1.0,1.0
36,21,1,2,0.95,772,AD_base,0.9430082256169213,0.8939298246372461,0.9130434782608695,0.972972972972973,0.9130434782608695,0.9545454545454546,0.972972972972973
36,22,1,1,0.9666666666666667,772,AD_guild,0.964747356051704,0.9294947121034077,0.9565217391304348,0.972972972972973,0.9565217391304348,0.9565217391304348,0.972972972972973
36,22,1,1,0.9666666666666667,772,AD_guild_split,0.964747356051704,0.9294947121034077,0.9565217391304348,0.972972972972973,0.9565217391304348,0.9565217391304348,0.972972972972973
36,5,5,14,0.6833333333333333,1797,clinical_base,0.5706033376123235,0.17625398874755244,0.2631578947368421,0.8780487804878049,0.2631578947368421,0.5,0.8780487804878049
37,3,4,16,0.6666666666666666,1797,clinical_guild,0.5301668806161747,0.08742631518820035,0.15789473684210525,0.9024390243902439,0.15789473684210525,0.42857142857142855,0.9024390243902439
40,2,1,17,0.7,1797,clinical_guild_split,0.5404364569961488,0.17261310524530143,0.10526315789473684,0.975609756097561,0.10526315789473684,0.6666666666666666,0.975609756097561
37,9,4,10,0.7666666666666667,1797,brain_base,0.6880616174582799,0.4246961132308309,0.47368421052631576,0.9024390243902439,0.47368421052631576,0.6923076923076923,0.9024390243902439
39,2,2,17,0.6833333333333333,1797,brain_guild,0.5282413350449293,0.10533190493018847,0.10526315789473684,0.9512195121951219,0.10526315789473684,0.5,0.9512195121951219
40,1,1,18,0.6833333333333333,1797,brain_guild_split,0.5141206675224647,0.07318548535838088,0.05263157894736842,0.975609756097561,0.05263157894736842,0.5,0.975609756097561
41,16,0,3,0.95,1797,AD_base,0.9210526315789473,0.8858267297927462,0.8421052631578947,1.0,0.8421052631578947,1.0,1.0
41,17,0,2,0.9666666666666667,1797,AD_guild,0.9473684210526316,0.9236455895150476,0.8947368421052632,1.0,0.8947368421052632,1.0,1.0
41,16,0,3,0.95,1797,AD_guild_split,0.9210526315789473,0.8858267297927462,0.8421052631578947,1.0,0.8421052631578947,1.0,1.0
33,9,5,13,0.7,2505,clinical_base,0.6387559808612441,0.3161854729289932,0.4090909090909091,0.868421052631579,0.4090909090909091,0.6428571428571429,0.868421052631579
34,11,4,11,0.75,2505,clinical_guild,0.6973684210526315,0.4392976851069795,0.5,0.8947368421052632,0.5,0.7333333333333333,0.8947368421052632
33,9,5,13,0.7,2505,clinical_guild_split,0.6387559808612441,0.3161854729289932,0.4090909090909091,0.868421052631579,0.4090909090909091,0.6428571428571429,0.868421052631579
36,5,2,17,0.6833333333333333,2505,brain_base,0.5873205741626795,0.2621577869736009,0.22727272727272727,0.9473684210526315,0.22727272727272727,0.7142857142857143,0.9473684210526315
34,8,4,14,0.7,2505,brain_guild,0.6291866028708134,0.3112715087397336,0.36363636363636365,0.8947368421052632,0.36363636363636365,0.6666666666666666,0.8947368421052632
35,5,3,17,0.6666666666666666,2505,brain_guild_split,0.5741626794258373,0.2102673692725232,0.22727272727272727,0.9210526315789473,0.22727272727272727,0.625,0.9210526315789473
37,20,1,2,0.95,2505,AD_base,0.9413875598086126,0.8918899540888059,0.9090909090909091,0.9736842105263158,0.9090909090909091,0.9523809523809523,0.9736842105263158
37,21,1,1,0.9666666666666667,2505,AD_guild,0.9641148325358853,0.9282296650717703,0.9545454545454546,0.9736842105263158,0.9545454545454546,0.9545454545454546,0.9736842105263158
