,tn,tp,fp,fn,accuracy_score,seed,feature_set,ROC-AUC,MCC,sensitivity,specificity,recall_sensitivity,precision,recall_specificty
85,47,7,5,21,0.675,9675,brain_guild,0.5769230769230769,0.20550493309503587,0.25,0.9038461538461539,0.25,0.5833333333333334,0.9038461538461539
86,46,2,6,26,0.6,9675,brain_guild_split,0.478021978021978,-0.06988565578146122,0.07142857142857142,0.8846153846153846,0.07142857142857142,0.25,0.8846153846153846
87,52,27,0,1,0.9875,9675,AD_base,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
88,52,27,0,1,0.9875,9675,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
89,52,25,0,3,0.9625,9675,AD_guild_split,0.9464285714285714,0.9187795405622853,0.8928571428571429,1.0,0.8928571428571429,1.0,1.0
90,42,6,10,22,0.6,6913,clinical_base,0.510989010989011,0.026207120918047958,0.21428571428571427,0.8076923076923077,0.21428571428571427,0.375,0.8076923076923077
91,45,5,7,23,0.625,6913,clinical_guild,0.521978021978022,0.05871569517001025,0.17857142857142858,0.8653846153846154,0.17857142857142858,0.4166666666666667,0.8653846153846154
92,48,3,4,25,0.6375,6913,clinical_guild_split,0.5151098901098902,0.05101073003409393,0.10714285714285714,0.9230769230769231,0.10714285714285714,0.42857142857142855,0.9230769230769231
93,45,7,7,21,0.65,6913,brain_base,0.5576923076923077,0.14484136487558028,0.25,0.8653846153846154,0.25,0.5,0.8653846153846154
94,44,6,8,22,0.625,6913,brain_guild,0.5302197802197802,0.0758692863633992,0.21428571428571427,0.8461538461538461,0.21428571428571427,0.42857142857142855,0.8461538461538461
95,45,5,7,23,0.625,6913,brain_guild_split,0.521978021978022,0.05871569517001025,0.17857142857142858,0.8653846153846154,0.17857142857142858,0.4166666666666667,0.8653846153846154
96,52,24,0,4,0.95,6913,AD_base,0.9285714285714286,0.8921425711997711,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0
97,52,27,0,1,0.9875,6913,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
98,52,27,0,1,0.9875,6913,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
99,45,5,7,23,0.625,521,clinical_base,0.521978021978022,0.05871569517001025,0.17857142857142858,0.8653846153846154,0.17857142857142858,0.4166666666666667,0.8653846153846154
100,46,5,6,23,0.6375,521,clinical_guild,0.5315934065934066,0.08751575663277819,0.17857142857142858,0.8846153846153846,0.17857142857142858,0.45454545454545453,0.8846153846153846
101,50,5,2,23,0.6875,521,clinical_guild_split,0.570054945054945,0.23650429379443552,0.17857142857142858,0.9615384615384616,0.17857142857142858,0.7142857142857143,0.9615384615384616
102,48,9,4,19,0.7125,521,brain_base,0.6222527472527473,0.3161260122463485,0.32142857142857145,0.9230769230769231,0.32142857142857145,0.6923076923076923,0.9230769230769231
103,47,5,5,23,0.65,521,brain_guild,0.5412087912087912,0.1188643277625491,0.17857142857142858,0.9038461538461539,0.17857142857142858,0.5,0.9038461538461539
104,47,7,5,21,0.675,521,brain_guild_split,0.5769230769230769,0.20550493309503587,0.25,0.9038461538461539,0.25,0.5833333333333334,0.9038461538461539
105,52,25,0,3,0.9625,521,AD_base,0.9464285714285714,0.9187795405622853,0.8928571428571429,1.0,0.8928571428571429,1.0,1.0
106,52,25,0,3,0.9625,521,AD_guild,0.9464285714285714,0.9187795405622853,0.8928571428571429,1.0,0.8928571428571429,1.0,1.0
107,52,27,0,1,0.9875,521,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
108,42,6,10,22,0.6,489,clinical_base,0.510989010989011,0.026207120918047958,0.21428571428571427,0.8076923076923077,0.21428571428571427,0.375,0.8076923076923077
109,45,5,7,23,0.625,489,clinical_guild,0.521978021978022,0.05871569517001025,0.17857142857142858,0.8653846153846154,0.17857142857142858,0.4166666666666667,0.8653846153846154
110,47,5,5,23,0.65,489,clinical_guild_split,0.5412087912087912,0.1188643277625491,0.17857142857142858,0.9038461538461539,0.17857142857142858,0.5,0.9038461538461539
111,47,10,5,18,0.7125,489,brain_base,0.6304945054945056,0.31893383957568117,0.35714285714285715,0.9038461538461539,0.35714285714285715,0.6666666666666666,0.9038461538461539
112,47,9,5,19,0.7,489,brain_guild,0.6126373626373627,0.28278552189994244,0.32142857142857145,0.9038461538461539,0.32142857142857145,0.6428571428571429,0.9038461538461539
113,48,6,4,22,0.675,489,brain_guild_split,0.5686813186813187,0.19810721293758182,0.21428571428571427,0.9230769230769231,0.21428571428571427,0.6,0.9230769230769231
114,52,26,0,2,0.975,489,AD_base,0.9642857142857143,0.9456108576893004,0.9285714285714286,1.0,0.9285714285714286,1.0,1.0
115,52,27,0,1,0.9875,489,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
116,52,27,0,1,0.9875,489,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
117,45,8,7,20,0.6625,1536,clinical_base,0.5755494505494506,0.1846459071227628,0.2857142857142857,0.8653846153846154,0.2857142857142857,0.5333333333333333,0.8653846153846154
118,46,4,6,24,0.625,1536,clinical_guild,0.5137362637362637,0.03962144258751637,0.14285714285714285,0.8846153846153846,0.14285714285714285,0.4,0.8846153846153846
119,48,5,4,23,0.6625,1536,clinical_guild_split,0.5508241758241759,0.15343717673673168,0.17857142857142858,0.9230769230769231,0.17857142857142858,0.5555555555555556,0.9230769230769231
120,48,8,4,20,0.7,1536,brain_base,0.6043956043956044,0.2788995520575487,0.2857142857142857,0.9230769230769231,0.2857142857142857,0.6666666666666666,0.9230769230769231
121,47,4,5,24,0.6375,1536,brain_guild,0.5233516483516483,0.07049816228444429,0.14285714285714285,0.9038461538461539,0.14285714285714285,0.4444444444444444,0.9038461538461539
122,49,5,3,23,0.675,1536,brain_guild_split,0.5604395604395604,0.19218555339901836,0.17857142857142858,0.9423076923076923,0.17857142857142858,0.625,0.9423076923076923
123,52,27,0,1,0.9875,1536,AD_base,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
124,52,27,0,1,0.9875,1536,AD_guild,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
125,52,27,0,1,0.9875,1536,AD_guild_split,0.9821428571428572,0.9726724238945256,0.9642857142857143,1.0,0.9642857142857143,1.0,1.0
